PDF1,PDF2,PDF1_PageNum,PDF1_Position,PDF2_PageNum,PDF2_Position
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,15,Top Right,15,Top Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,1,Middle Center,1,Middle Center
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,22,Middle Right,22,Middle Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,11,Bottom Right,11,Bottom Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,11,Middle Right,11,Middle Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,18,Top Center,18,Top Center
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,10,Middle Right,10,Middle Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,27,Middle Right,27,Middle Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,24,Middle Center,24,Middle Center
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,17,Top Right,17,Top Right
Proposal_F2D-15327.json,docNAC01FB7453539a8f94c77b631f7df9f75cf42daf7bb59b46b8d3117b1a7309f022623fb1cb44.json,10,Top Right,10,Top Right
